"gisaid_epi_isl","Nextstrain_clade","pango_lineage"
"EPI_ISL_1287381","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1435904","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_468656","20A","B.1"
"EPI_ISL_1084758","20A","B.1.160"
"EPI_ISL_1091177","20D","C.35"
"EPI_ISL_1110826","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1091186","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1167041","20B","B.1.1"
"EPI_ISL_1167085","20A","B.1.258"
"EPI_ISL_710549","20A","B.1.258"
"EPI_ISL_513312","20A","B.1.378"
"EPI_ISL_513313","20A","B.1.378"
"EPI_ISL_636492","19A","B.27"
"EPI_ISL_636521","20A","B.1.240.1"
"EPI_ISL_1014594","20E (EU1)","B.1.177.73"
"EPI_ISL_1014588","20D","C.2.1"
"EPI_ISL_1035771","20A","B.1.22.1"
"EPI_ISL_1035770","20A","B.1.160"
"EPI_ISL_1035769","20E (EU1)","B.1.177.73"
"EPI_ISL_1035768","20E (EU1)","B.1.177.73"
"EPI_ISL_1035767","20C","B.1.575"
"EPI_ISL_1035766","20C","B.1.575"
"EPI_ISL_1035765","20D","C.2.1"
"EPI_ISL_1035764","20E (EU1)","B.1.177.73"
"EPI_ISL_1089962","20D","C.2.1"
"EPI_ISL_1089992","20D","C.2.1"
"EPI_ISL_1232258","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1232269","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1232270","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1232280","20D","C.2.1"
"EPI_ISL_1232281","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1232303","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1232305","20B","B.1.1.519"
"EPI_ISL_1232314","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1232315","20B","B.1.1.519"
"EPI_ISL_1232326","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1232328","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1369752","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1369770","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1370667","20A","B.1"
"EPI_ISL_1456465","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1522086","21C (Epsilon)","B.1.427"
"EPI_ISL_1521076","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1521080","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1521086","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1014576","20A","B.1.22.1"
"EPI_ISL_1596244","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1704944","20B","B.1.1.348"
"EPI_ISL_1704955","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1792416","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1792868","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1962977","20A","B.1"
"EPI_ISL_1962979","20A","B.1"
"EPI_ISL_1962980","20A","B.1"
"EPI_ISL_2093645","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2093653","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2093654","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2094043","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2218058","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2218060","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2218103","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2302965","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2302971","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2302974","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2303943","20A","B.1.621"
"EPI_ISL_2303909","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_463742","20B","B.1.1.277"
"EPI_ISL_463745","20B","B.1.1"
"EPI_ISL_463748","20B","B.1.1"
"EPI_ISL_1164634","20A","B.1.236"
"EPI_ISL_1164745","20A","B.1.258"
"EPI_ISL_1164749","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1164750","20A","B.1.258"
"EPI_ISL_1804828","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_416742","20A","B.1"
"EPI_ISL_895748","20A","B.1"
"EPI_ISL_895764","20C","B.1"
"EPI_ISL_895730","20B","B.1.1.161"
"EPI_ISL_1391326","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_693680","20A","B.1.527"
"EPI_ISL_1510338","20A","B.1.221"
"EPI_ISL_1492079","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1492174","20B","B.1.1"
"EPI_ISL_1492402","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1498874","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1498911","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1261292","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_471530","20A","B.1"
"EPI_ISL_1261231","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1321410","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2324689","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2324834","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2324915","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2324988","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_577628","20B","B.1.1.266"
"EPI_ISL_626591","20D","C.35"
"EPI_ISL_1585251","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_965122","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2135843","21A (Delta)","B.1.617.2"
"EPI_ISL_2135845","21A (Delta)","B.1.617.2"
"EPI_ISL_2135839","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_437339","20A","B.1"
"EPI_ISL_2135844","21A (Delta)","B.1.617.2"
"EPI_ISL_1623756","19B","A.23.1"
"EPI_ISL_1623758","19B","A.23.1"
"EPI_ISL_1785567","20H (Beta, V2)","B.1.351"
"EPI_ISL_417437","20A","B.1.178"
"EPI_ISL_429264","20C","B.1"
"EPI_ISL_614484","20C","B.1.39"
"EPI_ISL_749053","20A","B.1.258.16"
"EPI_ISL_622634","20C","B.1.428"
"EPI_ISL_622035","20E (EU1)","B.1.177.21"
"EPI_ISL_1066253","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1125339","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1860905","20E (EU1)","B.1.177.70"
"EPI_ISL_1862663","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1869042","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1875855","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1881504","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1883415","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1887517","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2026017","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2026273","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2173199","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2297548","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_416143","20A","B.1"
"EPI_ISL_525468","20A","B.1"
"EPI_ISL_1378833","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_826802","20B","B.1.1"
"EPI_ISL_826822","20B","B.1.1"
"EPI_ISL_2348758","19B","A.2.5"
"EPI_ISL_2348762","20D","C.37"
"EPI_ISL_2348764","21F (Iota)","B.1.526"
"EPI_ISL_2348765","21F (Iota)","B.1.526"
"EPI_ISL_2348789","20D","C.37"
"EPI_ISL_1443666","20B","B.1.1"
"EPI_ISL_1381303","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1443671","20B","B.1.1.348"
"EPI_ISL_1443673","20B","B.1.1"
"EPI_ISL_1443677","20B","B.1.1.348"
"EPI_ISL_1381300","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1381301","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1443680","21F (Iota)","B.1.526"
"EPI_ISL_1381305","21F (Iota)","B.1.526"
"EPI_ISL_1443645","20B","B.1.1"
"EPI_ISL_1443647","20B","B.1.1"
"EPI_ISL_1443650","20B","B.1.1.388"
"EPI_ISL_1443651","20B","B.1.1"
"EPI_ISL_1443652","20B","B.1.1"
"EPI_ISL_1443656","20B","B.1.1.231"
"EPI_ISL_1443664","20B","B.1.1.348"
"EPI_ISL_1968656","20A","B.1.526.3"
"EPI_ISL_477015","20C","B.1.371"
"EPI_ISL_1805706","20B","B.1.1"
"EPI_ISL_486847","20A","B.1.67"
"EPI_ISL_2086707","20D","C.37"
"EPI_ISL_2134872","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_491934","20B","B.1.1.10"
"EPI_ISL_491935","20D","B.1.1.1"
"EPI_ISL_2361463","20G","B.1.2"
"EPI_ISL_491937","20B","B.1.1"
"EPI_ISL_516651","20A","B.1.223"
"EPI_ISL_516652","20A","B.1.223"
"EPI_ISL_660529","20B","B.1.1"
"EPI_ISL_660531","20A","B.1"
"EPI_ISL_697788","20B","B.1.1"
"EPI_ISL_728202","20B","B.1.1"
"EPI_ISL_824284","20B","B.1.1"
"EPI_ISL_471269","20B","B.1.1"
"EPI_ISL_877558","20D","B.1.1.1"
"EPI_ISL_681703","20B","B.1.1.231"
"EPI_ISL_1936137","20D","C.36"
"EPI_ISL_1936138","20D","C.36"
"EPI_ISL_1936139","20D","C.36"
"EPI_ISL_1936195","20D","C.36"
"EPI_ISL_1936103","20D","C.36"
"EPI_ISL_1936196","20D","B.1.1.1"
"EPI_ISL_1936106","20A","B.1"
"EPI_ISL_1936127","20D","C.36.3"
"EPI_ISL_1936129","19B","A.28"
"EPI_ISL_1936243","20D","C.36.3"
"EPI_ISL_1936248","20D","B.1.1.1"
"EPI_ISL_1936260","20D","B"
"EPI_ISL_1936274","20D","C.36"
"EPI_ISL_1936277","19B","A.28"
"EPI_ISL_1936287","20A","B.1"
"EPI_ISL_1936237","20D","C.36"
"EPI_ISL_794593","20A","B.1"
"EPI_ISL_890218","20A","B.1.398"
"EPI_ISL_857340","20D","C.36"
"EPI_ISL_482762","20A","B.1.195"
"EPI_ISL_1165079","20D","C.36"
"EPI_ISL_2227347","20D","C.36.3"
"EPI_ISL_2232407","20D","C.36"
"EPI_ISL_2232257","20D","C.36"
"EPI_ISL_2232254","20A","B.1"
"EPI_ISL_2232274","20A","B.1"
"EPI_ISL_1936313","20D","C.36"
"EPI_ISL_1936355","20A","B.1"
"EPI_ISL_415137","19A","B.4"
"EPI_ISL_1122772","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1451955","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1790807","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2091851","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_580374","20B","B.1.1.236"
"EPI_ISL_529471","20B","B.1.1.369"
"EPI_ISL_584296","20A","B.1.36.17"
"EPI_ISL_763794","20E (EU1)","B.1.177"
"EPI_ISL_963586","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1309216","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1326532","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1325417","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1486799","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2118760","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_998863","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_441519","20D","B.1.1.1"
"EPI_ISL_932404","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2021699","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2021792","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_530587","20E (EU1)","B.1.177"
"EPI_ISL_2004448","21A (Delta)","B.1.617.2"
"EPI_ISL_953415","20A","B.1.192"
"EPI_ISL_648318","19B","A.2"
"EPI_ISL_953420","20B","B.1.1"
"EPI_ISL_648337","20A","B.1.192"
"EPI_ISL_953403","20A","B.1.192"
"EPI_ISL_2002675","20A","B.1"
"EPI_ISL_1700675","20H (Beta, V2)","B.1.351"
"EPI_ISL_1673315","20H (Beta, V2)","B.1.351"
"EPI_ISL_1673319","20H (Beta, V2)","B.1.351.2"
"EPI_ISL_2002678","20H (Beta, V2)","B.1.351"
"EPI_ISL_1700681","20H (Beta, V2)","B.1.351"
"EPI_ISL_1673328","20H (Beta, V2)","B.1.351"
"EPI_ISL_2002685","20H (Beta, V2)","B.1.351"
"EPI_ISL_2002687","20H (Beta, V2)","B.1.351"
"EPI_ISL_1700686","20H (Beta, V2)","B.1.351"
"EPI_ISL_2002688","20H (Beta, V2)","B.1.351"
"EPI_ISL_1700687","20H (Beta, V2)","B.1.351"
"EPI_ISL_1138546","20E (EU1)","B.1.177.79"
"EPI_ISL_1319262","20A","B.1.527"
"EPI_ISL_1138594","20A","B.1.258"
"EPI_ISL_2107158","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2097126","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1138537","20A","B.1.527"
"EPI_ISL_1138547","20B","B.1.1"
"EPI_ISL_1190957","20A","B.1.527"
"EPI_ISL_1138588","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1470192","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2107195","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2107199","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2107264","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2107200","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2107285","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1319447","20E (EU1)","B.1.177"
"EPI_ISL_1196000","20B","B.1.1.448"
"EPI_ISL_1196004","20H (Beta, V2)","B.1.351"
"EPI_ISL_1196013","20H (Beta, V2)","B.1.351"
"EPI_ISL_1827698","20H (Beta, V2)","B.1.351"
"EPI_ISL_1827699","20H (Beta, V2)","B.1.351"
"EPI_ISL_1827700","20H (Beta, V2)","B.1.351"
"EPI_ISL_1827701","20H (Beta, V2)","B.1.351"
"EPI_ISL_1827704","20H (Beta, V2)","B.1.351"
"EPI_ISL_1827706","20H (Beta, V2)","B.1.351"
"EPI_ISL_1827707","20H (Beta, V2)","B.1.351"
"EPI_ISL_1827708","20H (Beta, V2)","B.1.351"
"EPI_ISL_1170957","20A","B.1"
"EPI_ISL_1897644","20A","B.1.480"
"EPI_ISL_1899485","20A","B.1"
"EPI_ISL_2241493","20A","B.1.480"
"EPI_ISL_2241494","20A","B.1"
"EPI_ISL_2241611","19B","A"
"EPI_ISL_2241622","20A","B.1.480"
"EPI_ISL_2241623","20A","B.1"
"EPI_ISL_1898554","20A","B.1"
"EPI_ISL_1899047","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_407079","19A","B"
"EPI_ISL_1229397","20A","B.1"
"EPI_ISL_732593","20B","AH.3"
"EPI_ISL_1219695","20C","B.1"
"EPI_ISL_756282","20B","B.1.1.39"
"EPI_ISL_1841468","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1841581","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_759781","20A","B.1.36.22"
"EPI_ISL_756113","20A","B.1.463"
"EPI_ISL_1842718","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2259018","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2258804","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1279166","20B","B.1.1.317"
"EPI_ISL_1279088","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1279046","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1279050","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1279005","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2363804","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2363805","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2363854","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2363862","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2363873","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2363924","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2363950","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2363954","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2363957","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2363958","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2364011","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2258548","20H (Beta, V2)","B.1.351"
"EPI_ISL_1853386","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1134930","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1587571","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1788220","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2289181","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_629097","20A","B.1"
"EPI_ISL_640010","20C","B.1.367"
"EPI_ISL_443281","20C","B.1.356"
"EPI_ISL_1696203","20H (Beta, V2)","B.1.351"
"EPI_ISL_1787817","20H (Beta, V2)","B.1.351"
"EPI_ISL_1818827","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2143400","21D (Eta)","B.1.525"
"EPI_ISL_406596","19A","B"
"EPI_ISL_1501013","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1134914","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1672534","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1707161","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2228980","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_666712","20A","B.1.93"
"EPI_ISL_591541","20A","B.1.159"
"EPI_ISL_2311479","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2351910","20E (EU1)","B.1.177"
"EPI_ISL_1166090","20A","B.1.160"
"EPI_ISL_804489","20C","B.1.367"
"EPI_ISL_1621709","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1085289","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1760554","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1913075","20A","B.1.619"
"EPI_ISL_2097218","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2097219","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2097220","20B","B.1.1.318"
"EPI_ISL_2097221","20B","B.1.1.318"
"EPI_ISL_2156795","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1913078","20B","B.1.1.318"
"EPI_ISL_1913080","20B","B.1.1.318"
"EPI_ISL_2137841","20H (Beta, V2)","B.1.351"
"EPI_ISL_2097227","20B","B.1.1"
"EPI_ISL_2097228","20B","B.1.1"
"EPI_ISL_2097230","20B","B.1.1.318"
"EPI_ISL_2097231","20B","B.1.1.318"
"EPI_ISL_2036198","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2036199","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1913052","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2036200","20C","B.1"
"EPI_ISL_1913034","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2036270","20B","B.1.1.318"
"EPI_ISL_1615655","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1760556","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2142748","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1234530","20B","B.1.1"
"EPI_ISL_1234533","20A","B.1.416"
"EPI_ISL_1620194","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1731543","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_428856","19A","B.6"
"EPI_ISL_561109","20A","B.1"
"EPI_ISL_561217","20B","B.1.1"
"EPI_ISL_561218","20A","B.1"
"EPI_ISL_1216076","20A","B.1.416"
"EPI_ISL_1216077","20A","B.1.416"
"EPI_ISL_1216106","20A","B.1"
"EPI_ISL_1216116","20A","B.1.416"
"EPI_ISL_420144","20B","B.1.1"
"EPI_ISL_763062","20B","B.1.1.10"
"EPI_ISL_481483","20C","B.1"
"EPI_ISL_477169","19A","B.4"
"EPI_ISL_754180","20B","B.1.1"
"EPI_ISL_754181","20B","B.1.1"
"EPI_ISL_1921879","20B","B.1.1"
"EPI_ISL_1921878","20B","B.1.1"
"EPI_ISL_1048367","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1791045","20B","B.1.1"
"EPI_ISL_1914425","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1914576","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1914578","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1914599","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1914603","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1914665","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1914670","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1914783","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1914784","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1914785","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1914938","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2318998","20B","B.1.1.141"
"EPI_ISL_2318999","21A (Delta)","B.1.617.2"
"EPI_ISL_2319004","20B","B.1.1.141"
"EPI_ISL_2319169","20B","B.1.1"
"EPI_ISL_887328","20A","B.1"
"EPI_ISL_753970","20C","B.1"
"EPI_ISL_1355372","20A","B.1.160"
"EPI_ISL_406862","20A","B.1"
"EPI_ISL_2094611","20A","B.1.258"
"EPI_ISL_1150772","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1151839","20A","B.1.258"
"EPI_ISL_1151856","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1353979","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2268093","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_776474","19B","A"
"EPI_ISL_1143538","20E (EU1)","B.1.177"
"EPI_ISL_1645119","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1565977","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1646649","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1850402","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2114233","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2124788","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2126299","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1181185","20B","B.1.1.232"
"EPI_ISL_1181197","20B","B.1.1.232"
"EPI_ISL_1143255","20E (EU1)","B.1.177.81"
"EPI_ISL_2315592","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1142009","20E (EU1)","B.1.177.86"
"EPI_ISL_1138625","20E (EU1)","B.1.177.75"
"EPI_ISL_1571021","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1643576","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_515103","19B","A"
"EPI_ISL_515107","19B","A"
"EPI_ISL_2361924","20B","B.1.1.318"
"EPI_ISL_2001080","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2001081","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2001085","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2001086","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2001087","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2001088","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2001074","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2001076","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2001077","21D (Eta)","B.1.525"
"EPI_ISL_2376384","19B","A.27"
"EPI_ISL_2376385","21D (Eta)","B.1.525"
"EPI_ISL_2361916","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_628761","20B","B.1.1"
"EPI_ISL_1255110","20B","B.1.1"
"EPI_ISL_1255156","20B","B.1.1"
"EPI_ISL_1255240","20B","B.1.1"
"EPI_ISL_1255269","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1255273","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1255277","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2285852","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2285853","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2285861","20B","B.1.1.318"
"EPI_ISL_2285869","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2348486","20B","B.1.1.318"
"EPI_ISL_1420663","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2343341","20B","AD.2"
"EPI_ISL_430469","20A","B.1"
"EPI_ISL_2368567","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2368596","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2368811","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2369233","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2369449","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2369567","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2343615","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2369654","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2343621","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2370569","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2365223","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2365231","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2301480","20A","B.1.36"
"EPI_ISL_2301509","20B","B.1.1"
"EPI_ISL_2343776","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1497482","20A","B.1.221"
"EPI_ISL_2349320","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1497460","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2349484","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1497520","20B","B.1.1.39"
"EPI_ISL_1497436","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2230688","20G","B.1.2"
"EPI_ISL_2230689","20B","B.1.1.434"
"EPI_ISL_2230691","20C","B.1.526.1"
"EPI_ISL_613419","20A","B.1"
"EPI_ISL_613431","20A","B.1"
"EPI_ISL_1416968","21B (Kappa)","B.1.617.1"
"EPI_ISL_1416987","20G","B.1.2"
"EPI_ISL_1700594","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_1273067","21C (Epsilon)","B.1.429"
"EPI_ISL_1273048","20G","B.1.2"
"EPI_ISL_1273064","20C","B.1.311"
"EPI_ISL_1969692","20J (Gamma, V3)","P.1"
"EPI_ISL_837579","20C","B.1"
"EPI_ISL_837581","20C","B.1"
"EPI_ISL_837582","20C","B.1"
"EPI_ISL_2014355","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_788937","20A","B.1"
"EPI_ISL_2150987","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2150990","20E (EU1)","B.1.177.52"
"EPI_ISL_2110836","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2110848","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2110850","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2110854","20I (Alpha, V1)","B.1.1.7"
"EPI_ISL_2230692","20C","B.1"
"EPI_ISL_2225271","20A","B.1.111"
"EPI_ISL_2230696","20B","B.1.1.33"
"EPI_ISL_2230697","20B","P.1"
"EPI_ISL_2157559","20C","B.1.575"
"EPI_ISL_1260836","20C","B.1"
"EPI_ISL_796025","20B","B.1.1.330"
"EPI_ISL_1678790","20B","B.1.1.243"
