Gene Symbol	Gene Product Name	NCBI Gene ID	Locus Name	UniProtKB Accession	GenBank Accession	GenBank Protein Accession	Subtype/Genotype (ViPR)	Strain Name	Collection Date	Host	Country	CDS Length	Virus Type	Virus Species	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZKE5	MH882535	AYV74924.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV17Hsem_2016-06-16	06/16/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZIM4	MH882536	AYV74925.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV17Jsem_2016-06-28	06/28/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZIM3	MH882537	AYV74926.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV17Ksem_2016-07-05	07/05/2016	Human	Brazil	10230	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZIM4	MH882538	AYV74927.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV17Lsem_2016-07-12	07/12/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZIM4	MH882539	AYV74928.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV17Msem_2016-07-19	07/19/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZIM4	MH882540	AYV74929.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV17Nsem_2016-07-27	07/27/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZKE5	MH882541	AYV74930.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV17sem_2016-04-19	04/19/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZLG4	MH882542	AYV74931.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV17uri_2016-04-19	04/19/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZIN8	MH882543	AYV74932.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV19Auri_2016-05-05	05/05/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZIN8	MH882544	AYV74933.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV19Bsem_2016-05-12	05/12/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZIN8	MH882545	AYV74934.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV19Csem_2016-05-19	05/19/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZIN8	MH882546	AYV74935.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV19Dsem_2016-05-24	05/24/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZIN8	MH882547	AYV74936.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV19Esem_2016-06-02	06/02/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G4ZIN8	MH882548	AYV74937.1	Asian	Zika virus/H.sapiens-wt/BRA/2016/ZKV19Fsem_2016-06-09	06/09/2016	Human	Brazil	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2D0	KY785417	ARB07929.1	Asian	Zika virus/H.sapiens-wt/COL/2016/SU-1810A-SER	04/06/2016	Human	Colombia	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2H2	KY785466	ARB07978.1	Asian	Zika virus/H.sapiens-wt/COL/2016/SU-1856A-SER	04/28/2016	Human	Colombia	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2I8	KY785477	ARB07989.1	Asian	Zika virus/H.sapiens-wt/COL/2016/SU-2293A-SER	06/09/2016	Human	Colombia	9396	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2I4	KY785469	ARB07981.1	Asian	Zika virus/H.sapiens-wt/COL/2016/SU-2724A-SER	04/05/2016	Human	Colombia	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2C9	KY785425	ARB07937.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0059-SER	04/04/2016	Human	Dominican Republic	10010	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2I9	KY785463	ARB07975.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0071-SER	04/05/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2G5	KY785449	ARB07961.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0071-URI	04/05/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1D9C0W0	KY014305	AOY08526.2	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0076-SER	04/05/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2E6	KY785423	ARB07935.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0076-URI	04/05/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2K5	KY785483	ARB07995.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0085-SER	04/07/2016	Human	Dominican Republic	8806	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2H1	KY785465	ARB07977.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0085-URI	04/07/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2I0	KY785475	ARB07987.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0091-SER	04/07/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1D9C0X5	KY014321	AOY08542.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0115-SER	04/11/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2C5	KY785415	ARB07927.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0115-URI	04/11/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1D9C0V3	KY014303	AOY08524.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0127-SER	04/11/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1D9C0Y7	KY014304	AOY08525.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0180-SER	04/18/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2H9	KY785476	ARB07988.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0180-URI	04/18/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2D5	KY785420	ARB07932.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0183-SER	04/18/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B2I9V4	KY014300	AOY08521.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0208-SER	04/20/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1D9C0V6	KY014302	AOY08523.3	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0216-SER	04/21/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1D9C0W5	KY014318	AOY08539.3	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0269-SER	04/27/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2E0	KY785428	ARB07940.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0428-PLA	06/13/2016	Human	Dominican Republic	9708	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2F1	KY785441	ARB07953.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0433-SER	06/13/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1D9C0Z2	KY014314	AOY08535.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/BB-0436-PLA	06/14/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2I2	KY785453	ARB07965.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/MA-WGS16-007-SER	05/10/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2I6	KY785478	ARB07990.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/MA-WGS16-009-SER	05/24/2016	Human	Dominican Republic	6139	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2J6	KY785484	ARB07996.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/MA-WGS16-011-SER	06/06/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2J7	KY785473	ARB07985.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/MA-WGS16-013-SER	06/15/2016	Human	Dominican Republic	10003	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2I1	KY785470	ARB07982.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/MA-WGS16-014-SER	06/18/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2H0	KY785460	ARB07972.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/MA-WGS16-020-SER	06/30/2016	Human	Dominican Republic	9384	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2D4	KY785435	ARB07947.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/MA-WGS16-024-SER	07/07/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2E4	KY785434	ARB07946.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/MA-WGS16-031-SER	08/17/2016	Human	Dominican Republic	9377	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2F5	KY785447	ARB07959.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/MA-WGS16-036-SER	09/22/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2C7	KY785413	ARB07925.1	Asian	Zika virus/H.sapiens-wt/DOM/2016/MA-WGS16-040-SER	10/06/2016	Human	Dominican Republic	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2C1	KY785414	ARB07926.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME131-PLA	05/28/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2G7	KY785461	ARB07973.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME136-PLA	05/31/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2F4	KY785444	ARB07956.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME137-PLA	05/31/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2G3	KY785442	ARB07954.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME147-SER	06/04/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1D9C0X0	KY014315	AOY08536.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME152-SER	06/06/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2H3	KY785452	ARB07964.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME156-SER	06/07/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1D9C0Y3	KY014327	AOY08548.2	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME167-PLA	06/09/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2F7	KY785448	ARB07960.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME171-PLA	06/10/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2G6	KY785458	ARB07970.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME172-PLA	06/10/2016	Human	Honduras	9990	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1D9C0V8	KY014306	AOY08527.2	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME178-PLA	06/10/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2E3	KY785431	ARB07943.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME180-PLA	06/13/2016	Human	Honduras	10010	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2C6	KY785416	ARB07928.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME33-PLA	04/28/2016	Human	Honduras	10009	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1D9C0X1	KY014319	AOY08540.2	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME38-PLA	04/30/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1D9C0X3	KY014310	AOY08531.2	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME42-SER	05/09/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1D9C0W3	KY014311	AOY08532.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME50-PLA	05/12/2016	Human	Honduras	9197	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A173AEF6	KY014312	AOY08533.2	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME58-PLA	05/13/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2D3	KY785418	ARB07930.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-ME59-PLA	05/13/2016	Human	Honduras	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2H7	KY785471	ARB07983.1	Asian	Zika virus/H.sapiens-wt/HND/2016/HU-SZ76-SER	05/03/2016	Human	Honduras	10113	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2K2	KY785482	ARB07994.1	Asian	Zika virus/H.sapiens-wt/HTI/2016/MA-WGS16-022-SER	07/05/2016	Human	Haiti	7005	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2D1	KY785424	ARB07936.1	Asian	Zika virus/H.sapiens-wt/JAM/2016/MA-WGS16-025-SER	07/10/2016	Human	Jamaica	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2E8	KY785438	ARB07950.1	Asian	Zika virus/H.sapiens-wt/JAM/2016/MA-WGS16-038-SER	09/26/2016	Human	Jamaica	8475	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2E1	KY785430	ARB07942.1	Asian	Zika virus/H.sapiens-wt/JAM/2016/MA-WGS16-039-SER	09/28/2016	Human	Jamaica	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2F3	KY785432	ARB07944.1	Asian	Zika virus/H.sapiens-wt/JAM/2016/MA-WGS16-041-SER	10/12/2016	Human	Jamaica	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2D6	KY785419	ARB07931.1	Asian	Zika virus/H.sapiens-wt/JAM/2016/WI-JM6-SER	06/13/2016	Human	Jamaica	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2G2	KY785451	ARB07963.1	Asian	Zika virus/H.sapiens-wt/MTQ/2016/FL-001-SAL	03/22/2016	Human	Martinique	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2H6	KY785464	ARB07976.1	Asian	Zika virus/H.sapiens-wt/PRI/2016/MA-WGS16-004-SER	04/13/2016	Human	Puerto Rico	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2J2	KY785481	ARB07993.1	Asian	Zika virus/H.sapiens-wt/PRI/2016/MA-WGS16-005-SER	04/12/2016	Human	Puerto Rico	9989	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2I3	KY785462	ARB07974.1	Asian	Zika virus/H.sapiens-wt/PRI/2016/MA-WGS16-016-SER	06/26/2016	Human	Puerto Rico	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2G4	KY785454	ARB07966.1	Asian	Zika virus/H.sapiens-wt/UNK/2016/MA-WGS16-029-SER	08/05/2016	Human	-N/A-	8515	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B2I9V4	KY014295	AOY08516.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FL-010-URI	06/22/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2D7	KY785421	ARB07933.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FL-019-URI	07/07/2016	Human	USA	7926	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2E5	KY785445	ARB07957.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FL-021-URI	07/19/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2C8	KY785412	ARB07924.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FL-022-URI	07/22/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2G9	KY785443	ARB07955.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FL-028-SER	08/01/2016	Human	USA	10010	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2G8	KY785457	ARB07969.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FL-029-URI	08/01/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B2I9V4	KY014325	AOY08546.2	Asian	Zika virus/H.sapiens-wt/USA/2016/FL-030-URI	08/02/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1D9C0U7	KY014298	AOY08519.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FL-032-URI	08/05/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2E7	KY785440	ARB07952.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FL-035-URI	08/03/2016	Human	USA	5818	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2I7	KY785474	ARB07986.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FL-036-SER	08/04/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1D9C0X8	KY014326	AOY08547.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FL-038-URI	08/05/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A140GMI4	KY014316	AOY08537.2	Asian	Zika virus/H.sapiens-wt/USA/2016/FL-039-URI	08/17/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B2I9V4	KY325464	APO39228.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLSR036	09/19/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8D490	KY325465	APO39229.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLSR043	09/28/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8D498	KY325466	APO39230.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLUR002	07/28/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8D485	KY325467	APO39231.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLUR006	07/29/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B2I9V4	KY325468	APO39232.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLUR007	08/04/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B2I9V4	KY325469	APO39233.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLUR008	08/04/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8D484	KY325470	APO39234.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLUR009	08/04/2016	Human	USA	10066	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8D481	KY325471	APO39235.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLUR011	08/08/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B2I9V4	KY325472	APO39236.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLUR013	08/23/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8D4A1	KY325473	APO39237.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLUR022	08/31/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8D483	KY325474	APO39238.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLUR026	09/13/2016	Human	USA	10156	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8D4A0	KY325475	APO39239.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLUR057	10/05/2016	Human	USA	9981	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8D4A6	KY325476	APO39240.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLUR058	10/11/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8D487	KY325477	APO39241.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLUR063	10/03/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8D4A2	KY325478	APO39242.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLWB042	09/26/2016	Human	USA	10195	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1P8D490	KY325479	APO39243.1	Asian	Zika virus/H.sapiens-wt/USA/2016/FLWB044	09/28/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	polyprotein	-N/A-	-N/A-	A0A1V0E2H4	KY785459	ARB07971.1	Asian	Zika virus/H.sapiens-wt/USA/2016/MA-WGS16-034-SER	08/15/2016	Human	USA	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A172W618	KX247646	ANF04752.1	Asian	Zika virus/Homo sapiens/COL/UF-1/2016	02/09/2016	Human	Colombia	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A220T7J0	MF438286	ASK51714.1	Asian	Zika virus/Homo sapiens/Cuba 2017	02/12/2017	Human	Cuba	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1B2ZC85	KX702400	AOE22997.1	Asian	Zika virus/Homo sapiens/VEN/UF-1/2016	03/25/2016	Human	Venezuela	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A1C9UZS9	KX893855	AOR87336.1	Asian	Zika virus/Homo sapiens/VEN/UF-2/2016	03/25/2016	Human	Venezuela	10272	Zika virus	Zika virus	
-N/A-	Nonstructural polyprotein	-N/A-	-N/A-	A0A1D8MBG0	KX954122	AOV81593.1	Asian	Zika virus/Homo sapiens/Yucatan/9190916/2016	09/19/2016	Human	Mexico	1056	Zika virus	Zika virus	
-N/A-	Polyprotein	-N/A-	-N/A-	A0A1W6ETX2	MF036115	ARO84674.1	Asian	Zika virus/Homo sapiens/ZIKV-CCMU01/2016	11/02/2016	Human	China	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A142IX71	KU955594	AMR39835.1	East_African	Zika virus/M.mulatta-tc/UGA/1947/MR-766	04/1947	Monkey	Uganda	10260	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A140GMI4	MF783072	ATB53753.1	Asian	Zika virus/mosquito/Haiti/1855/2016	06/27/2016	Mosquito	Haiti	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A3G1J6T1	MF783073	ATB53754.1	Asian	Zika virus/mosquito/Haiti/1919/2016	05/10/2016	Mosquito	Haiti	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A384L2I5	KU866423	AMO03410.2	Asian	Zika virus/SZ01/2016/China	2016	Human	China	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A2D0WX26	MF099651	ARU07182.1	Asian	Zika-GZDJ1685	08/2016	-N/A-	China	10260	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A2H4G2G6	KY120353	APG56458.1	Asian	Zika/Boracay/16423	04/28/2016	Human	Philippines	10272	Zika virus	Zika virus	
-N/A-	Genome polyprotein	-N/A-	-N/A-	A0A2H4FY57	KY120352	APG56457.1	Asian	Zika/Brazil/16321	03/22/2016	Human	Brazil	10272	Zika virus	Zika virus	
