rep,trimmed
CY257258,"CY257258, CY257154, CY257330, CY257162, CY257050, CY257346, MH842428, CY257418, CY257098, CY266375, CY257146, CY257298, CY257386, CY256986, CY257394, CY256994, CY257426, CY257066, CY257138, CY257314, CY257122, CY257282, CY240747, CY257354, CY257202, CY257002, CY257074, CY240763, CY256946, CY240395, CY257010, CY240739, CY257234, CY257170, CY257018, CY257210, CY257290, CY257178, CY257186, CY257242, CY257130, CY257082, CY256962, CY257410, CY257434, CY257266, CY257378, CY257106, CY256970, CY257274, CY257250, CY257362, CY257306, CY257322, CY240723, CY257026, CY257114, CY257034, CY257218, CY257090, CY257338, CY257370, CY257042, CY257226, CY240731, MH842628, MK651087"
CY240755,"CY240755, CY256954"
KY003432,"KY003432, CY208856"
CY208984,"CY208984, KY289165"
CY243955,"CY243955, CY210591"
CY210322,"CY210322, CY213866"
CY234894,"CY234894, MF673249"
KX949243,"KX949243, KY044089"
KY583693,"KY583693, KY583683"
CY218142,"CY218142, CY218150, CY226503, CY230165, CY218182"
KX916140,"KX916140, KX916148"
KY116222,"KY116222, CY210210, CY255497"
CY210260,"CY210260, CY211674"
CY210703,"CY210703, CY212362, CY226559"
KY328776,"KY328776, MF164912"
KY328777,"KY328777, MF164913"
KY949240,"KY949240, KY949249"
KY949241,"KY949241, KY949247"
KY949242,"KY949242, KY949246, KY949251"
KY949243,"KY949243, KY949250"
MF993047,"MF993047, CY243431"
KY949244,"KY949244, KY949248"
MF164914,"MF164914, MF164915, CY254226"
CY255041,"CY255041, CY255049, CY254585"
CY255361,"CY255361, CY255529"
CY254409,"CY254409, CY254449, CY254681"
CY254961,"CY254961, CY254633"
KX917676,"KX917676, KX416968, KX416976"
KX917644,"KX917644, KX416952, KX413166, KX413222, KX413230"
KY044161,"KY044161, KX916412, KX916420"
KX415520,"KX415520, KY044403"
KX415848,"KX415848, KX415840"
KX413174,"KX413174, KX413254, KX885891, KX413262"
KX918124,"KX918124, KX916188"
CY213218,"CY213218, CY213210, CY234992, CY235031"
CY255249,"CY255249, CY255481"
CY254905,"CY254905, CY255289"
KX413110,"KX413110, KX413118, KX916124, KX413126, KX916132, KX413270, KX916244, KX416056, KX917188, KX917756"
KY289312,"KY289312, KY116446"
KY289439,"KY289439, CY213842"
CY218937,"CY218937, CY217922, CY217938"
CY230141,"CY230141, CY217970"
CY215841,"CY215841, CY212026"
CY216617,"CY216617, MN299767, MN299828, MN299469, MN568527, CY220111, CY225054, CY223910, CY234184, CY236014, CY244217, CY244050, CY244219, CY223133, CY244093, CY244099, CY231012, CY227174, CY244232, CY215018, CY219103, CY220759, CY222925, CY225190, CY222933, CY228325, CY225318, CY225326, CY222037, CY225102, CY216153, CY215913, CY219117, CY244064, CY223710, CY230953, CY227854, CY224910, CY223774, MF782928, CY224846, CY222549, CY244268, CY216217, CY235848, CY243896, CY244071, MN571871, MH637801, CY223085, CY244273, CY244411, CY233322, CY230317"
CY216609,"CY216609, CY223045, CY223053, CY232420, CY244198, CY220247, CY235600, CY235592, CY238891, CY242150, CY245198, CY235006, CY244201, CY227702, CY244153, KY949986, KY949928, KY950166, MN299499, MN299537, MN299518, MN299530, MN299501, MN299507, MN299514, MN299543, MN299547, MN299554, MN299572, MN299584, MN299602, MN299596, MN299617, MN299641, MN299653, MN299656, MN299658, MN299708, MN299709, MN299699, MN299731, MN299761, MN299762, MN299815, MN299800, MN299818, MN299831, MN299837, MN299861, MN299872, MN299391, MN299394, MN299403, MN299411, KY583650, KY583651, KY583653, KY583654, KY583655, KY583656, KY583668, KY583652, KY583657, CY222597, CY216161, CY216417, CY222717, CY219244, CY219252, CY230466, CY224158, CY244206, CY220591, CY220119, CY227478, CY215953, CY222565, CY216705, CY227406, CY232476, CY239752, KY697342, KY697366, KY697374, MG928453, MG928461, MG928469, MG928445, MG928477, MG928485, CY216025, CY222693, CY219217, CY243934, CY227774, MH131350, CY216601, CY223149, CY227374, CY221878, CY231146, CY234336, CY243999, CY244223, CY223013, CY244097, MH637660, CY214618, CY216129, CY222757, CY220383, CY214706, CY228141, MK676169, CY220343, CY224982, CY223854, CY227454, CY214834, CY214842, CY228181, CY216641, CY216649, CY222789, CY223702, CY227462, CY218030, CY218038, CY218046, CY218054, CY226719, CY226751, CY220151, CY224878, CY230960, CY220743, CY228229, CY228717, CY232602, CY214850, CY220663, CY228909, CY235808, CY228541, CY244006, CY215066, CY220647, CY235015, CY243875, CY244008, CY216089, CY216097, CY220327, CY221806, CY216273, CY220215, CY243879, CY220407, CY221965, CY225414, CY244400, CY214730, CY225214, CY224046, CY230586, CY228445, CY244011, CY244115, CY259031, CY259063, CY259111, CY259135, CY259199, CY259359, MH798390, MH798438, MH798622, CY234826, CY243890, CY243957, CY244065, CY216721, CY223253, CY244025, CY244066, CY244067, CY244068, KY583718, KY583719, KY583722, KY583716, KY583723, CY223814, CY224958, MF782975, MF783011, MN055160, MN054436, MH347135, MN570735, CY222557, CY244127, MF182522, CY225286, CY225270, CY228309, MN571343, MN571855, MN571863, MN571967, CY230253, CY233306, CY239649, CY215034, CY220063, CY220071, CY222533, CY220311, CY221926, CY234986, CY235028, CY244130, CY244283, MK381529, CY238250, CY238290, CY216361, CY220455, CY230974, CY223229, CY230993, CY223982, CY232500, CY214962, CY214938, CY216657, CY224006, CY225150, CY244295, CY226543, CY234998, CY243979, CY244305, CY214570, CY227150, CY225206, CY224038, CY228397, CY226527, CY216441, CY238843, CY235944, CY233338, CY230357, CY238678, CY238686, CY233346, CY239816, CY234618, CY214794, CY220447"
CY220551,"CY220551, CY220559, CY230722, CY230706, CY239744, CY230698, CY257933, CY250627, CY259882, CY250619, CY264203, CY264187, CY264195, MH081897, MH126390, MH081905, MH081916, CY235004, CY244197, CY223173, CY225350, CY234344, CY228813, CY235496, CY235504, CY230746, CY239904, CY242318, CY244521, CY243519, CY244950, CY243551, CY243599, CY243615, CY243647, CY243655, CY243678, CY244990, CY244529, CY243662, CY244617, CY244625, CY245150, CY235005, CY247086, CY247102, CY250027, CY257621, MH294705, MH294706, MH294707, MH294731, MH294732, CY257629, CY250035, CY256237, MH246258, CY261655, CY265085, MH669458, MH601290, MH601297, MH601306, MH601314, MH131214, MH131230, MH131238, MH131246, MH131254, MH131278, MH131286, KY583528, KY583579, MN538754, MN538698, CY238883, CY242062, CY242070, CY245206, CY247038, CY256053, CY256045, CY244082, CY260718, CY264084, MH294708, MH294805, MH294806, CY264473, CY265117, MH246282, CY265125, MH081940, MH081947, MH700972, MH700980, MH701004, MH701012, MG914107, CY216513, CY216505, CY228741, CY245158, CY255765, CY260301, CY250515, CY255773, CY257693, CY250523, CY250531, CY255781, CY257701, CY250539, CY250691, CY257949, CY260106, CY260114, CY260122, CY261089, CY261121, CY261129, CY264131, CY264782, MH081969, CY244202, CY244203, MH637724, MH637444, MH637470, MN299505, MN299506, MN299513, MN299495, MN299503, MN299517, MN299545, MN299579, MN299592, MN299636, MN299644, MN299694, MN299710, MN299730, MN299733, MN299734, MN299739, MN299743, MN299744, MN299751, MN299774, MN299782, MN299813, MN299795, MN299803, MN299805, MN299835, MN299844, MN299853, MN299894, MN299905, MN299430, MN299447, MN299462, MN299465, MN299471, MN568065, MN568319, MN568567, CY256365, CY260449, CY256357, CY258380, CY258364, CY258372, MG974173, MG830871, CY258356, CY260833, CY260841, CY261359, CY261375, CY219236, CY222709, CY261383, CY261391, CY261399, CY261663, CY265157, MH126478, CY265165, CY265173, MH246298, CY265189, CY265181, MG974194, MH246306, MG830882, MG830905, MG974218, MG830921, MH126487, MG974234, MH082036, MH082044, MH126498, CY220687, CY220695, CY243838, MH701052, CY230966, CY221973, CY224150, CY242366, MH294709, CY242374, MH294810, MH294811, CY242382, MH294884, MH294886, MH294888, MH294890, MH779018, CY244609, CY244601, CY245174, CY245166, CY245358, CY245350, CY245366, CY245374, CY255893, CY257797, CY255901, CY257805, CY256133, CY256141, CY256109, CY256085, CY256077, CY256069, CY256093, CY256333, CY256325, MH701092, MH701132, MH701164, MH701172, MH701244, MH701268, MH701292, MH701324, MH701340, MH701380, MG279314, MG279322, MG914123, MG914131, MG914139, MG914147, MG914163, MG914179, MG914195, MG914203, MG914219, MG914235, MG914251, MG914275, MG914283, MG914291, MG914299, MG914307, MG914323, MG279278, MF182485, MG914331, MG914355, MK898501, MG914363, MG914371, MG914379, MG914387, MG914395, MN569103, MH393251, MK641799, MK641800, CY214994, CY219154, CY222973, CY222981, CY245422, CY255644, CY245414, CY245406, CY260670, CY261185, CY261193, CY264155, CY265053, CY235009, CY243929, CY244037, CY244038, CY244210, MH294710, MH294739, MH294812, MH294814, MH294817, MH294818, MH294819, MH294822, MH294892, CY224942, CY224934, CY231139, CY234578, CY234786, CY245382, CY245390, MG830935, MG974252, CY260583, CY260591, CY261033, CY261025, MG830954, MG974266, MH126599, MH082100, MH082108, MK159091, CY219018, CY220103, CY220095, CY247189, CY258013, MH082121, CY260504, CY264107, MG974162, MG830962, MG974274, MG830968, MG974282, MH082140, MH669611, MH669627, MH669635, MH669659, MH729448, MH729456, MH669667, CY244158, CY264918, CY264926, MG830975, MH079950, MG974290, MH081861, MH082196, MH601322, MH601346, MH669466, MH669476, MH601362, MH601369, MH601386, MH669483, CY227206, CY227438, CY232404, CY236008, CY242102, CY234554, CY234842, CY235912, CY234961, CY243718, CY243994, CY244085, CY244086, CY244087, CY244213, MH294711, CY245278, MH294825, MH294830, MH294832, MH294833, CY249851, MH294898, MH778972, MH778973, MH778975, MH779027, MH885194, CY249859, CY257733, CY255821, MK382006, CY255813, CY258068, CY258076, CY258292, CY260598, MG974308, CY260606, MG830991, CY266050, CY266058, CY266074, CY266066, CY266090, CY266082, CY266138, CY266130, CY266154, CY266146, CY266162, CY266170, CY261041, CY261049, CY266186, CY266178, CY264361, CY264369, CY232372, CY247126, CY247118, CY247158, CY257461, MG974322, MG974338, MG974346, MG974362, MG974370, MH126695, MG974378, MG974386, MG974410, MH082215, MH082220, CY234962, CY234963, CY243873, CY243995, CY244043, CY244388, MH294714, MH294742, MH294834, MK159075, CY224086, CY245462, CY249867, CY257549, CY249875, CY257557, CY261209, CY264299, CY264307, CY264315, CY244049, CY264323, MH669554, CY265069, MH079971, MH079979, MH306890, MH079983, CY219222, CY228893, CY245046, CY255925, CY255917, CY257821, CY257813, CY255909, CY257829, CY255933, CY255941, CY257837, CY256213, CY256205, CY260638, CY261153, CY264489, CY264497, MH082227, MH246442, MH082237, CY243932, MH294743, MH778977, CY214074, CY228157, CY223109, CY227766, CY234392, CY228917, CY250555, CY257853, CY259938, CY258029, CY260090, CY261288, CY261296, CY266042, CY266034, CY266018, CY266026, CY263168, CY264521, MH082252, MH082260, MH082277, MH126777, MH131302, MH131318, MH131326, MH131334, MH131358, MH294716, MH294717, MH294836, MH294905, MN873924, CY220295, CY220287, CY230890, CY234458, CY250667, CY259914, CY258252, CY261615, MG974429, MG974437, CY261623, CY264997, MH082281, MH082293, CY228213, CY220167, CY239808, CY234602, CY257869, CY250571, CY259946, CY258037, CY259954, CY258045, CY259994, CY261081, MG974445, CY264441, CY264449, MH246506, MH082316, MH082332, MH131382, MH131390, MH131398, MH131406, MH131414, MH131422, MH131430, MH131462, MH131470, MH131494, MH131510, MH131518, MH131526, MH131534, MH131550, MH131558, MH601706, MG066685, MK159067, CY220567, CY260755, MH082348, MH131566, MH294745, MH294746, MH294747, MH294748, CY225086, CY223942, CY227326, CY263136, CY263144, MG974469, CY264211, CY264219, CY264235, MG974477, CY264227, MG974482, MG974490, CY243937, CY244004, CY244054, MH294840, KY950123, MH637646, CY234232, CY216201, CY223285, CY230770, CY234432, CY230778, CY244737, CY244745, MH727777, CY245022, MH727790, CY245030, CY244753, CY247174, CY247166, CY259890, CY250643, CY261527, CY214698, CY228133, CY220351, CY227534, CY227542, CY230474, CY228653, CY228669, CY228661, CY239768, CY232554, MG974514, MH126862, MH126871, MG974522, MG974530, MH126881, CY228381, CY230546, CY234650, CY235984, CY244569, CY246990, MH294718, MH294750, MH294751, MH294752, CY255869, CY257773, CY260519, CY260961, CY264393, MG974541, CY264401, CY221798, CY215010, CY232364, CY261065, MH082449, CY261057, CY264275, MH082460, CY239984, CY230093, CY240016, CY244497, CY242270, CY243455, CY245230, CY249995, CY250003, CY250563, CY257861, CY257981, CY260050, MG974546, MH080072, MG974562, MG974578, MH080091, CY233416, CY233384, CY238593, CY225246, CY227814, CY228901, CY234690, CY239824, CY257653, CY250067, CY258332, CY261591, MG974605, CY264806, MG974610, CY260082, CY261519, MH082509, MH126982, MH082514, CY244165, CY244397, MH294722, MH294845, MH294846, MH294849, MH294850, MH778986, MK400763, CY259930, CY250683, CY260809, CY260873, MH246618, CY260897, CY260881, CY260905, CY260913, CY264076, CY264822, MG974156, MG974634, MH080096, MG974642, MH131598, CY219194, CY222685, CY244577, CY257453, CY245102, CY247070, CY247078, CY255997, CY256005, CY256013, CY260340, CY255989, CY260332, CY255981, CY260348, CY256021, MG831007, CY258412, MG974653, CY258420, CY258428, CY258444, CY261009, MH127014, CY261001, CY261551, CY261559, CY261575, CY261567, CY264862, CY264878, CY264886, MG974674, MG831033, MG974682, MG831041, CY216409, CY223317, CY245246, CY247062, CY258124, CY258132, CY258140, CY260405, CY261495, CY261503, CY264766, CY264774, MG974706, CY235016, CY244106, CY244107, MH294854, MH294856, MH294857, MH294858, CY219260, CY222045, CY232272, CY230618, CY255829, CY257741, CY255853, CY257757, MG974717, CY258228, MG831055, CY260646, CY260654, CY261543, CY264100, CY265029, CY265213, MH294723, MH294724, MH294859, MH294860, CY223894, CY225038, CY250372, CY245094, CY260739, CY260993, CY264377, MG831066, MG974722, MH082604, MH082612, CY227294, CY234240, CY240039, CY260295, CY260371, CY260778, CY244236, MH701724, MH701732, CY228277, CY223221, CY230730, CY249883, CY257565, CY257573, CY249891, CY256221, CY259978, CY256229, CY260678, CY261177, CY264291, MG974736, CY265133, MH082651, CY244240, CY260496, CY258340, CY260825, CY260817, CY261256, MG974749, CY263152, CY264337, CY264846, MG974762, MG831083, MG974770, MH080128, MG831090, MH082660, MH082668, MH082676, CY244060, CY244401, MH294862, MH778990, CY259055, CY259079, CY259175, CY259183, CY259255, CY259343, MH797774, MH797838, MH797846, MH797878, MH797886, MH797926, MH798382, MH798534, MH798542, MH798558, MH798566, MH798574, MH798598, MN569359, MN569415, MN569447, MN569655, CY266431, MH842404, MH842412, MH842420, CY266551, MH842436, MH842444, MH842452, CY266495, MH842460, CY266591, CY266351, MH842476, CY266559, CY266391, CY266663, CY266671, MH842492, CY266767, CY266399, MH842500, CY266479, MH842508, CY266423, CY266887, CY266583, MH842516, MH842524, MH842532, CY266631, CY266719, MH842540, CY266823, CY266487, CY266855, MH842556, MH842564, CY266711, CY266743, MH842588, CY266455, CY266463, CY266519, CY266687, CY266447, CY266407, CY266599, MH842604, CY266615, CY266607, MH842612, CY266895, CY266359, MH842620, MH842636, MH842644, CY266527, CY266775, MH842652, CY266567, CY266695, CY266383, CY266727, CY266511, MH842676, CY266879, CY215905, CY220527, CY227110, CY244713, CY249923, CY249915, CY260385, CY260726, CY266114, CY263192, CY264981, CY264973, MH082701, MH601858, MH601867, MH601874, MH131622, CY234973, CY234974, CY235019, CY244013, CY216793, CY220711, CY223061, CY227798, CY227806, CY235920, CY235928, CY244585, CY244593, CY260921, CY260945, MG974789, CY261471, MG974791, CY261487, CY264957, MH082724, MH246698, CY244016, CY244063, CY244173, MH294864, CY220335, CY231070, CY255612, CY245182, CY245190, CY247197, CY258092, CY258108, CY258100, CY261240, MH082746, CY261248, CY264894, CY264902, CY264910, MG974802, MG974810, CY235020, CY243886, CY243887, CY243888, CY243889, CY243958, CY244017, CY244018, CY244254, CY244255, MH294757, MH294759, MH294866, MH294867, MH294868, MH294869, MH294870, MH294921, MH294922, MH294924, MH294925, MH294927, MH294928, MH294929, MH294930, MH294931, MH294932, MH294933, MH294934, MH294935, MK502864, CY228765, CY265013, CY265021, MH082756, CY244019, CY244020, MH294873, MH294947, KY583694, KY583704, KY583701, KY583705, MN538730, MN538747, CY230858, CY261312, CY264577, CY264585, MH082770, MH082778, CY218206, CY244641, CY245006, CY244649, CY244673, CY244665, CY249987, CY258276, CY261280, CY261272, CY264553, CY264569, MH307242, MN570047, MN570191, MN570199, MN538628, CY264267, MH082853, MH127141, MH347178, MH346948, MH346530, MH347000, MF593743, MF593724, MF593735, MF593742, MF593744, MF593737, MF593741, MF593738, MF593734, MG984193, MG984201, MG984209, MG984217, MG984225, MG984241, MG984249, MG984257, MG984273, MG984134, MG984153, MG984098, MG984123, MG984139, MG984537, MN570367, MN567978, MN570607, MN570823, MN570831, MN570855, MN570863, CY255973, CY260324, CY258260, CY260472, CY258268, CY264545, MG974850, CY235024, CY243961, CY244267, CY244270, CY244408, MH701756, MF182523, MG279254, MG914403, MG914411, MF182532, MG914419, CY225294, CY247205, CY247213, CY260034, CY261455, MG974861, CY261447, MG974869, CY261463, CY264171, MH127182, MH082868, MH131638, MH131646, MH131654, MH131662, MH131670, MH294728, MN571271, MN571367, MN571727, MN571759, MN571951, MN571999, MN572007, MN572079, MN572239, MN572255, MN572303, MN572399, MN572415, MN572679, MH637773, MN572823, MN572863, CY214642, CY226591, CY224918, CY223790, CY230293, CY232254, CY227638, CY260280, CY249963, MH082900, MH082908, MH246770, MH246778, MK241054, MH586415, MH246794, MH586423, MH586431, MH792786, CY234730, CY220079, CY221758, CY216745, CY226807, CY245254, CY247054, CY245262, CY250075, CY257661, CY250603, CY257925, CY250611, CY259874, CY260390, CY260397, CY259970, CY258116, CY258204, CY260457, CY258212, CY260066, CY260567, CY260793, MG831103, MG974885, CY260785, CY261145, CY264537, CY264529, MH127205, CY264838, CY264941, CY220135, MG974898, MG974906, MG974914, MH082948, MH082954, MH246818, CY220727, CY222813, CY244178, CY244277, CY244289, MH294729, MH294730, MH294765, MH294878, MH294949, MH294951, MH294952, MH779003, MH779004, MH779005, MH779007, MH779008, MH885281, MK381526, MK381530, CY234264, CY227758, MK381532, MK381533, MK381534, CY227830, CY232280, CY227790, MK502968, MK502984, MK502992, MK503000, MK503016, MK503024, CY238282, CY238354, CY238362, MF673279, MN572887, MK168402, MK168410, MK168426, CY214778, CY220463, CY255861, CY260309, CY260694, MG831111, MG974925, CY260702, CY261335, CY261343, CY264465, CY264457, MH082972, MH082980, CY244135, CY244293, CY244294, MH294953, CY239760, CY232508, CY245222, CY247046, MG974930, MN573055, MN573079, MN573127, MN573359, MN573367, MN573631, MN573639, MN573711, MN573775, MN573823, MN573855, MN573879, MN573935, MN574103, MN574167, CY230626, CY228485, CY232324, CY232332, MG831121, MG974954, MH083024, MH294879, MH779010, CY218094, CY226847, CY220599, CY250404, CY245470, CY255805, CY225334, CY257717, CY255797, CY256173, CY256157, CY256149, MG831135, MG974973, CY260543, CY264139, CY265101, CY265109, MH083040, MH080275, MH586476, MH246863, CY243908, CY244181, CY244182, CY244304, MH294767, MH294768, MH294769, MH294770, MH294771, MH294880, MH779011, CY225198, CY224030, CY228389, CY230554, CY231125, CY230570, CY232444, CY260614, CY260622, CY264259, CY264251, MG974981, MG831153, MG974994, MH083076, CY218110, CY216449, CY242118, CY220503, CY239968, CY239976, CY258052, CY260378, CY259962, CY258060, MG831159, MG975005, CY260018, CY261217, CY261225, CY264345, MH083094, MH083104, MH083116, MH083132, CY227718, MN594836, MN594942, MN594966, CY214786, CY220439, CY223189, CY225358, CY249899, CY257581, CY256253, CY260413, CY256245, CY261320, CY264505, CY264513, MG831177, MH127399, MG975026, MH127412, CY243983, CY243984, CY244034, CY244139, CY244140, CY244184, CY244306, CY244308, CY244309, MH294772, MH294881, MH294954"
CY230690,"CY230690, CY239736, CY230682, MN299488, MN299846, MN299864, MN299428, CY214034"
CY230674,"CY230674, MN299820, MN299906, MN568671, MN569087, CY244157, CY235464, CY223213, MN570551, MN570799, MN571919, MN572751, CY234738, CY240008, MF673271"
CY234762,"CY234762, CY234770, CY232380, CY234384, MK071259, CY238662, CY232460"
CY264179,"CY264179, CY260857, MH246266, CY264123, MH126323, MN299792, MN299829, MN299913, MN299929, MN299936, CY261407, MH294809, MG279270, MH294737, CY232412, CY242358, MH294831, MH294897, MK382005, MH294715, CY235824, CY239864, CY235992, MG974421, CY261201, MH082268, MH246458, MH131342, CY260535, CY260002, MH131446, CY234794, MG974506, MH126337, CY257997, MH294719, MH294720, MH778985, MG974629, MG830999, CY260801, CY260865, CY264814, MH082544, MG974667, CY258452, MG831023, CY260273, CY260265, MH294753, CY261264, CY263160, MG974757, MN569695, CY239840, CY235936, MH294725, MH294923, CY258164, CY238639, MG974938, MH083001, MG974962, MG831130, MH083143"
CY216057,"CY216057, CY219170, CY243992, KY950141, MN299591, MN299722, KY583635, KY583636, KY583639, KY583637, KY583638, CY216433, CY234957, CY235008, CY225382, CY244209, CY232468, CY244214, CY222949, CY228245, CY219229, CY222013, CY230834, CY243933, CY244221, CY220495, CY228293, CY221886, CY243996, CY244096, CY244001, CY244003, MH637582, CY244234, CY219186, CY222957, CY228253, CY230449, CY227910, CY244057, CY243877, CY244059, CY222733, CY219276, CY235552, CY235560, CY228837, CY234352, CY234522, CY259311, CY244015, CY231077, CY244024, CY214754, CY216369, CY220231, CY235023, CY216113, MK676185, MN570231, CY235400, CY244291, CY225262, CY228333, CY231084, CY215042, CY224854, CY215050, CY226551, CY219146, CY219138, CY226863, CY226855, CY221814, CY220607, CY223029, CY230197, CY234997, CY235032, CY243917, CY243918, CY243920, CY243981, CY244183, CY244303, CY230562, CY228405"
CY222573,"CY222573, CY216065, KY583640, CY216073, CY222581"
CY220239,"CY220239, CY220751, MN299519, MN299531, MN299521, MN299529, MN299563, MN299578, MN299651, MN299666, MN299673, MN299716, MN299718, MN299720, MN299752, MN299764, MN299401, KY583659, CY220271, CY235007, CY243868, CY243869, CY215106, CY216033, CY243931, CY244046, CY234272, CY231118, CY244163, CY216081, CY223766, CY222837, MH346769, MH346999, MN572063, MN572767, MN572791"
CY222053,"CY222053, CY243874, CY244053"
CY222061,"CY222061, CY228733, KY949788, KY949978, KY949985, KY949831, MH637485, MH637594, CY255561, CY219162, CY232532, CY234440, CY234594, CY234586, CY243930, CY225030, CY225022, CY227230, CY227238, CY231039, CY227902, CY230441, CY227486, CY228581, CY232436, CY232428, MK027507, MH669643, CY222749, CY220359, CY227662, CY228421, CY228413, CY234304, CY228629, CY242182, CY239888, CY239944, MG928493, CY244160, CY244218, CY244389, MH131366, CY234642, CY235904, MT055987, MH080048, MG974450, MK025787, MH080056, MG974458, CY227470, CY234368, CY232296, CY234376, CY232303, CY234658, CY239856, CY236042, CY243940, CY244102, CY244228, CY244391, MH246554, CY238931, CY238939, CY242166, CY238947, CY242174, CY230005, CY232524, CY230980, CY230988, CY223974, CY225126, CY227558, CY228797, CY235368, CY244110, CY244237, CY244238, CY244399, MK071235, MK071243, MK071251, MK070967, CY228453, CY232388, CY238819, CY234722, CY235888, CY243884, CY244247, CY244248, CY244402, CY244403, CY244404, CY244405, MH294861, CY259095, CY259351, MH798374, MH798398, MH798414, MH798422, MH798430, MH798494, MH798502, MH798518, MH798590, MH798606, MH798614, MH798630, MH798638, MH798646, MH798678, MH798694, MH798718, MH798734, MH798742, MH798750, MH798758, MN569679, CY227622, CY230490, CY232340, CY232570, CY244249, CY225222, CY224054, CY234424, CY232484, MF782894, MF782893, MF782892, MF782934, MF782939, CY235448, CY244177, CY244271, MN572503, CY227630, CY228341, MH246786, CY264830, MH082937, CY242134, CY244886, CY227750, CY238473, CY244180, CY228517, CY228525, CY219091, CY219098, CY228493, CY228501, CY242142, CY234850, CY244076, CY244137, CY244297, CY244298, CY244299, CY244412, CY235768, CY236035, CY234866, CY234818, CY230802"
CY223165,"CY223165, CY230738, MH294882, CY230538, CY230642, CY244199, CY222853, CY227694, CY244204, KY950063, KY950099, KY950167, KY949900, KY949739, KY950005, MH637731, MN299483, MN299515, MN299509, MN299532, MN299585, MN299600, MN299608, MN299611, MN299662, MN299758, MN299776, MN299793, MN299796, MN299848, MN299911, MN299927, MN299928, MN299933, MN299424, MN299426, MN299443, MN299474, MN299477, MN568607, MN568975, MK159083, CY265205, CY220255, CY228869, CY256101, CY256117, CY260364, CY256125, MN569135, MH393252, MK053905, CY228605, CY243928, CY240055, MG830948, MG974258, MH126589, CY215961, CY215969, CY224998, CY223886, CY224838, CY247182, CY244155, CY244156, CY219201, CY235880, CY244040, CY223934, CY225078, CY247150, MG198920, CY244048, CY219130, CY216017, CY250547, CY257845, CY244222, MH201530, MH201531, MH201581, CY216593, CY222661, CY223269, CY227598, CY227606, CY250340, CY243686, MG066690, CY244094, CY260747, MH082353, CY244227, CY244002, CY216193, CY221830, MH328005, CY232547, CY227118, CY231005, CY227134, CY234466, CY249835, CY260257, CY244005, CY244229, CY260316, CY257765, CY257781, CY255877, CY231132, CY228477, CY228469, CY226695, CY239992, CY244721, CY244729, CY245014, CY257989, CY230045, CY238722, CY214858, CY250059, CY257645, CY222917, CY250348, CY243758, CY250675, CY259922, MN250864, CY221902, CY235544, CY235536, CY227646, CY230498, CY249979, CY260985, CY214594, CY223966, CY225118, CY227566, CY228805, CY240031, CY247221, CY255789, CY257709, CY243944, CY244235, CY222701, CY216753, CY223726, CY222805, CY235896, CY245054, CY250364, CY235018, CY243947, CY243948, CY244171, CY259071, CY259087, CY259103, CY259143, CY259207, CY259303, CY259391, MH797782, MH798406, MH798478, MH798510, MH798670, MH798710, MN569583, CY224014, CY225166, CY227422, CY232578, CY239792, CY263200, MH601850, CY244014, CY216169, CY244251, CY244256, CY260138, CY260146, CY243894, CY244022, CY244120, CY256061, CY214346, CY222845, CY223782, CY227190, CY227198, CY227518, CY234256, CY227526, CY216497, CY224974, CY223846, CY223838, CY224966, MF783004, MH346842, MH346570, MH346849, MH346668, MH347065, MH346604, MH346612, MK159059, MG984353, MG984377, MG984457, MG984489, MG984146, MG984166, MN570535, MN570751, MN570791, CY255596, CY216561, CY234224, CY234216, CY243895, MH294726, CY239776, CY230794, CY235840, CY235856, MN571575, MN571655, MN572039, CY216049, CY226623, CY226583, CY226607, CY226655, CY214818, CY238561, CY238569, CY220087, CY244537, CY244545, CY250356, CY220143, CY228237, CY221854, CY243902, CY243965, CY244133, MH779002, CY238266, CY238258, CY238433, CY230818, CY239784, CY244136, CY216465, CY222645, CY216457, CY220479, MN573111, MN573167, MN573439, MN573663, CY256181, CY234416, CY243914"
CY235640,"CY235640, CY235632, CY240087"
CY240079,"CY240079, MN299615, MN299650, MN299670, CY231044, CY223093, CY228269, CY223101, CY227342, CY223141, CY227366, CY227318, MF599419, MF599420, MF599421, MF599422, MF599432, MG431383, CY242278, CY244505, CY266367, CY266831, CY266807, CY266535, CY266735, CY266759, CY266575, CY266471, CY266439, CY266799, CY266655, MH842580, CY266791, MH842596, CY266679, CY266703, CY266647, CY266623, MH842660, MH842668, CY266815, MG279246, CY216041, CY243734"
